first_seen,last_seen,counterparty_name,alias_of,jurisdiction,entities_touching,typologies,status,risk_rating,mlro_notes,last_task_gid
2026-04-06,2026-04-06,VAT Compliance for Precious Metals,,,FG BRANCH - COMPLIANCE PROGRAMME 2026|FG LLC - COMPLIANCE PROGRAMME 2026,,open,medium,,1213909837321756
2026-04-06,2026-04-06,VAT for Precious Metals,,,NAPLES LLC - COMPLIANCE PROGRAMME 2026,,open,medium,,1213907306428456
2026-04-06,2026-04-06,VAT Precious Metals,,,MADISON LLC - COMPLIANCE PROGRAMME 2026|GRAMALTIN AS - COMPLIANCE PROGRAMME 2026|ZOE FZE - COMPLIANCE PROGRAMME 2026,,open,medium,,1213907441194976
